name_team_fotmob,shortname_team_fotmob,id_team_fotmob,url_team_fotmob,logo_team_fotmob,season,id_league_fotmob,name_league_fotmob,country_code_fotmob,name_venue,city_venue,lat_venue,lon_venue,Surface,Capacity,Opened,url_photo_stadium
Arsenal,Arsenal,9825,https://www.fotmob.com/teams/9825/overview/arsenal,https://images.fotmob.com/image_resources/logo/teamlogo/9825.png,2025/2026,47,Premier League,ENG,Emirates Stadium,London,51.555074614,-0.108457804,Grass,60704,2006,https://cdn.resfu.com/img_data/estadios/original_new/53.jpg?size=720x432c&lossy=1
Manchester City,Man City,8456,https://www.fotmob.com/teams/8456/overview/manchester-city,https://images.fotmob.com/image_resources/logo/teamlogo/8456.png,2025/2026,47,Premier League,ENG,Etihad Stadium,Manchester,53.483152259,-2.200409174,Grass,61470,2002,https://cdn.resfu.com/img_data/estadios/original_new/41.jpg?size=720x432c&lossy=1
Manchester United,Man United,10260,https://www.fotmob.com/teams/10260/overview/manchester-united,https://images.fotmob.com/image_resources/logo/teamlogo/10260.png,2025/2026,47,Premier League,ENG,Old Trafford,Manchester,53.463094458,-2.291373610,Grass,74244,1910,https://cdn.resfu.com/img_data/estadios/original_new/50.jpg?size=720x432c&lossy=1
Aston Villa,Aston Villa,10252,https://www.fotmob.com/teams/10252/overview/aston-villa,https://images.fotmob.com/image_resources/logo/teamlogo/10252.png,2025/2026,47,Premier League,ENG,Villa Park,Birmingham,52.509090736,-1.884841919,Grass,43205,1897,https://cdn.resfu.com/img_data/estadios/original_new/291.jpg?size=720x432c&lossy=1
Liverpool,Liverpool,8650,https://www.fotmob.com/teams/8650/overview/liverpool,https://images.fotmob.com/image_resources/logo/teamlogo/8650.png,2025/2026,47,Premier League,ENG,Anfield,Liverpool,53.430827885,-2.960852981,Grass,61276,1884,https://cdn.resfu.com/img_data/estadios/original_new/43.jpg?size=720x432c&lossy=1
AFC Bournemouth,Bournemouth,8678,https://www.fotmob.com/teams/8678/overview/afc-bournemouth,https://images.fotmob.com/image_resources/logo/teamlogo/8678.png,2025/2026,47,Premier League,ENG,Vitality Stadium,"Bournemouth, Dorset",50.735240532,-1.838309616,Grass,11307,2001,https://cdn.resfu.com/img_data/estadios/original_new/167.jpg?size=720x432c&lossy=1
Sunderland,Sunderland,8472,https://www.fotmob.com/teams/8472/overview/sunderland,https://images.fotmob.com/image_resources/logo/teamlogo/8472.png,2025/2026,47,Premier League,ENG,Stadium of Light,Sunderland,54.914421504,-1.388177276,Grass,49000,1997,https://cdn.resfu.com/img_data/estadios/original_new/1293.jpg?size=720x432c&lossy=1
Brighton & Hove Albion,Brighton,10204,https://www.fotmob.com/teams/10204/overview/brighton-hove-albion,https://images.fotmob.com/image_resources/logo/teamlogo/10204.png,2025/2026,47,Premier League,ENG,American Express Stadium,"Falmer, East Sussex",50.861579551,-0.083642006,Grass,31876,2011,https://cdn.resfu.com/img_data/estadios/original_new/249.jpg?size=720x432c&lossy=1
Brentford,Brentford,9937,https://www.fotmob.com/teams/9937/overview/brentford,https://images.fotmob.com/image_resources/logo/teamlogo/9937.png,2025/2026,47,Premier League,ENG,Gtech Community Stadium,"Brentford, Middlesex",51.490729000,-0.288884000,Grass,17250,2020,https://cdn.resfu.com/img_data/estadios/original_new/5435.jpg?size=720x432c&lossy=1
Chelsea,Chelsea,8455,https://www.fotmob.com/teams/8455/overview/chelsea,https://images.fotmob.com/image_resources/logo/teamlogo/8455.png,2025/2026,47,Premier League,ENG,Stamford Bridge,London,51.481711963,-0.190974623,Grass,40044,1877,https://cdn.resfu.com/img_data/estadios/original_new/39.jpg?size=720x432c&lossy=1
