position,team_name_besoccer,team_id_besoccer,elo_besoccer,url_team_besoccer,league,season
1,Bayern München,449,94,https://www.besoccer.com/team/bayern-munchen,Bundesliga,2026
2,Borussia Dortmund,530,90,https://www.besoccer.com/team/borussia-dortmund,Bundesliga,2026
3,RB Leipzig,9750,89,https://www.besoccer.com/team/rb-leipzig,Bundesliga,2026
4,VfB Stuttgart,2433,88,https://www.besoccer.com/team/stuttgart,Bundesliga,2026
5,Hoffenheim,2542,84,https://www.besoccer.com/team/tsg-1899-hoffenheim,Bundesliga,2026
6,Bayer Leverkusen,3668,93,https://www.besoccer.com/team/bayer-leverkusen,Bundesliga,2026
7,Freiburg,2286,85,https://www.besoccer.com/team/sc-freiburg,Bundesliga,2026
8,Eintracht Frankfurt,960,88,https://www.besoccer.com/team/eintracht-frankfurt,Bundesliga,2026
9,Augsburg,1039,82,https://www.besoccer.com/team/fc-augsburg,Bundesliga,2026
10,Mainz 05,2987,86,https://www.besoccer.com/team/mainz-amat,Bundesliga,2026
11,Union Berlin,8,82,https://www.besoccer.com/team/1-fc-union-berlin,Bundesliga,2026
12,Borussia Mönchengladbach,5623,85,https://www.besoccer.com/team/borussia-monchengla,Bundesliga,2026
13,Hamburger SV,1286,80,https://www.besoccer.com/team/hamburger-sv,Bundesliga,2026
14,1. FC Köln,4,82,https://www.besoccer.com/team/1-fc-koln,Bundesliga,2026
15,Werder Bremen,2746,84,https://www.besoccer.com/team/werder-bremen,Bundesliga,2026
16,Wolfsburg,2760,86,https://www.besoccer.com/team/wolfsburg,Bundesliga,2026
17,FC Heidenheim,4094,80,https://www.besoccer.com/team/heidenheim,Bundesliga,2026
18,St. Pauli,2418,81,https://www.besoccer.com/team/st-pauli,Bundesliga,2026
1,Barcelona,429,95,https://www.besoccer.com/team/barcelona,LaLiga,2026
2,Real Madrid,2107,95,https://www.besoccer.com/team/real-madrid,LaLiga,2026
3,Villarreal,2716,89,https://www.besoccer.com/team/villarreal,LaLiga,2026
4,Atletico Madrid,369,92,https://www.besoccer.com/team/atletico-madrid,LaLiga,2026
5,Real Betis,486,88,https://www.besoccer.com/team/betis,LaLiga,2026
6,Celta Vigo,712,85,https://www.besoccer.com/team/celta,LaLiga,2026
7,Getafe,1217,83,https://www.besoccer.com/team/getafe,LaLiga,2026
8,Rayo Vallecano,2080,83,https://www.besoccer.com/team/rayo-vallecano,LaLiga,2026
9,Valencia,2647,85,https://www.besoccer.com/team/valencia-cf,LaLiga,2026
10,Real Sociedad,2120,88,https://www.besoccer.com/team/real-sociedad,LaLiga,2026
11,Espanyol,998,82,https://www.besoccer.com/team/espanyol,LaLiga,2026
12,Athletic Club,347,90,https://www.besoccer.com/team/athletic-bilbao,LaLiga,2026
13,Sevilla,1102,85,https://www.besoccer.com/team/sevilla,LaLiga,2026
