matchweek,position,team,league,season
1,1,Barcelona,LaLiga,2025/2026
1,2,Rayo Vallecano,LaLiga,2025/2026
1,3,Villarreal,LaLiga,2025/2026
1,4,Getafe,LaLiga,2025/2026
1,5,Athletic Club,LaLiga,2025/2026
1,6,Alavés,LaLiga,2025/2026
1,7,Espanyol,LaLiga,2025/2026
1,8,Real Madrid,LaLiga,2025/2026
1,9,Real Betis,LaLiga,2025/2026
1,10,Valencia,LaLiga,2025/2026
1,11,Elche CF,LaLiga,2025/2026
1,12,Real Sociedad,LaLiga,2025/2026
1,13,Sevilla FC,LaLiga,2025/2026
1,14,Atlético,LaLiga,2025/2026
1,15,Levante,LaLiga,2025/2026
1,16,CA Osasuna,LaLiga,2025/2026
1,17,Girona,LaLiga,2025/2026
1,18,Celta de Vigo,LaLiga,2025/2026
1,19,Real Oviedo,LaLiga,2025/2026
1,20,RCD Mallorca,LaLiga,2025/2026
2,1,Villarreal,LaLiga,2025/2026
2,2,Barcelona,LaLiga,2025/2026
2,3,Real Madrid,LaLiga,2025/2026
2,4,Getafe,LaLiga,2025/2026
2,5,Athletic Club,LaLiga,2025/2026
2,6,Espanyol,LaLiga,2025/2026
2,7,Real Betis,LaLiga,2025/2026
2,8,Rayo Vallecano,LaLiga,2025/2026
2,9,Alavés,LaLiga,2025/2026
2,10,CA Osasuna,LaLiga,2025/2026
2,11,Real Sociedad,LaLiga,2025/2026
2,12,Elche CF,LaLiga,2025/2026
2,13,Celta de Vigo,LaLiga,2025/2026
2,14,RCD Mallorca,LaLiga,2025/2026
2,15,Atlético,LaLiga,2025/2026
2,16,Valencia,LaLiga,2025/2026
2,17,Levante,LaLiga,2025/2026
2,18,Sevilla FC,LaLiga,2025/2026
2,19,Real Oviedo,LaLiga,2025/2026
2,20,Girona,LaLiga,2025/2026
3,1,Real Madrid,LaLiga,2025/2026
3,2,Athletic Club,LaLiga,2025/2026
3,3,Villarreal,LaLiga,2025/2026
3,4,Barcelona,LaLiga,2025/2026
3,5,Espanyol,LaLiga,2025/2026
3,6,Getafe,LaLiga,2025/2026
3,7,Elche CF,LaLiga,2025/2026
3,8,Real Betis,LaLiga,2025/2026
3,9,Valencia,LaLiga,2025/2026
3,10,Rayo Vallecano,LaLiga,2025/2026
3,11,Alavés,LaLiga,2025/2026
3,12,Sevilla FC,LaLiga,2025/2026
3,13,CA Osasuna,LaLiga,2025/2026
3,14,Real Oviedo,LaLiga,2025/2026
3,15,Atlético,LaLiga,2025/2026
3,16,Real Sociedad,LaLiga,2025/2026
3,17,Celta de Vigo,LaLiga,2025/2026
3,18,RCD Mallorca,LaLiga,2025/2026
3,19,Levante,LaLiga,2025/2026
3,20,Girona,LaLiga,2025/2026
4,1,Real Madrid,LaLiga,2025/2026
4,2,Barcelona,LaLiga,2025/2026
4,3,Espanyol,LaLiga,2025/2026
4,4,Athletic Club,LaLiga,2025/2026
4,5,Getafe,LaLiga,2025/2026
4,6,Villarreal,LaLiga,2025/2026
4,7,Alavés,LaLiga,2025/2026
4,8,Elche CF,LaLiga,2025/2026
4,9,CA Osasuna,LaLiga,2025/2026
4,10,Atlético,LaLiga,2025/2026
4,11,Real Betis,LaLiga,2025/2026
4,12,Sevilla FC,LaLiga,2025/2026
4,13,Rayo Vallecano,LaLiga,2025/2026
4,14,Valencia,LaLiga,2025/2026
